project_accession	project_alias	sample_alias	run_alias	library_name	library_source	library_selection	library_strategy	library_construction_protocol	instrument_model	file_type	library_layout	insert_size	forward_file_name	reverse_file_name
EGAS00001005441	G-SAM	AAG2	AAG2-1930_NGS19-J340_AHKK5WDSXX_S128_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAG2-1930_NGS19-J340_AHKK5WDSXX_S128_L004_R1_001.fastq.gz	AAG2-1930_NGS19-J340_AHKK5WDSXX_S128_L004_R2_001.fastq.gz
EGAS00001005441	G-SAM	AAJ1	AAJ1-2603_NGS19-J391_AHLGTCDSXX_S35_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAJ1-2603_NGS19-J391_AHLGTCDSXX_S35_L002_R1_001.fastq.gz	AAJ1-2603_NGS19-J391_AHLGTCDSXX_S35_L002_R2_001.fastq.gz
EGAS00001005442	G-SAM	AAJ2	AAJ2-2604_NGS19-J504_AHM2NJDSXX_S231_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAJ2-2604_NGS19-J504_AHM2NJDSXX_S231_L003_R1_001.fastq.gz	AAJ2-2604_NGS19-J504_AHM2NJDSXX_S231_L003_R2_001.fastq.gz
EGAS00001005442	G-SAM	AAL1	AAL1-2605_NGS19-J547_AHM2NJDSXX_S274_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAL1-2605_NGS19-J547_AHM2NJDSXX_S274_L004_R1_001.fastq.gz	AAL1-2605_NGS19-J547_AHM2NJDSXX_S274_L004_R2_001.fastq.gz
EGAS00001005443	G-SAM	AAL2	AAL2-2606_NGS19-J399_AHLGTCDSXX_S43_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAL2-2606_NGS19-J399_AHLGTCDSXX_S43_L003_R1_001.fastq.gz	AAL2-2606_NGS19-J399_AHLGTCDSXX_S43_L003_R2_001.fastq.gz
EGAS00001005443	G-SAM	AAM1	AAM1-1934_NGS19-J348_AHKK5WDSXX_S136_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAM1-1934_NGS19-J348_AHKK5WDSXX_S136_L004_R1_001.fastq.gz	AAM1-1934_NGS19-J348_AHKK5WDSXX_S136_L004_R2_001.fastq.gz
EGAS00001005444	G-SAM	AAM2	AAM2-1942_NGS19-J354_AHKK5WDSXX_S142_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAM2-1942_NGS19-J354_AHKK5WDSXX_S142_L004_R1_001.fastq.gz	AAM2-1942_NGS19-J354_AHKK5WDSXX_S142_L004_R2_001.fastq.gz
EGAS00001005444	G-SAM	AAN1	AAN1-2360_NGS19-J381_AHLGTCDSXX_S25_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAN1-2360_NGS19-J381_AHLGTCDSXX_S25_L002_R1_001.fastq.gz	AAN1-2360_NGS19-J381_AHLGTCDSXX_S25_L002_R2_001.fastq.gz
EGAS00001005445	G-SAM	AAN2	AAN2-1944_NGS19-J344_AHKK5WDSXX_S132_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAN2-1944_NGS19-J344_AHKK5WDSXX_S132_L004_R1_001.fastq.gz	AAN2-1944_NGS19-J344_AHKK5WDSXX_S132_L004_R2_001.fastq.gz
EGAS00001005445	G-SAM	AAP1	AAP1_NGS20-N999_AHGJCYDSXY_S64_L002	NGS20	TRANSCRIPTOMIC	cDNA	RNA-seq	RNeasy FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAP1_NGS20-N999_AHGJCYDSXY_S64_L002_R1_001.fastq.gz	AAP1_NGS20-N999_AHGJCYDSXY_S64_L002_R2_001.fastq.gz
EGAS00001005446	G-SAM	AAP2	AAP2-2659_NGS19-J496_AHM2NJDSXX_S223_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAP2-2659_NGS19-J496_AHM2NJDSXX_S223_L003_R1_001.fastq.gz	AAP2-2659_NGS19-J496_AHM2NJDSXX_S223_L003_R2_001.fastq.gz
EGAS00001005446	G-SAM	AAS1	AAS1-1947_NGS19-J271_AHKK5WDSXX_S11_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAS1-1947_NGS19-J271_AHKK5WDSXX_S11_L002_R1_001.fastq.gz	AAS1-1947_NGS19-J271_AHKK5WDSXX_S11_L002_R2_001.fastq.gz
EGAS00001005447	G-SAM	AAS1	AAS1-1947_NGS19-J271_BHJTTYDSXX_S5_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAS1-1947_NGS19-J271_BHJTTYDSXX_S5_L001_R1_001.fastq.gz	AAS1-1947_NGS19-J271_BHJTTYDSXX_S5_L001_R2_001.fastq.gz
EGAS00001005447	G-SAM	AAS2	AAS2-1949_NGS19-J310_AHKK5WDSXX_S98_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAS2-1949_NGS19-J310_AHKK5WDSXX_S98_L003_R1_001.fastq.gz	AAS2-1949_NGS19-J310_AHKK5WDSXX_S98_L003_R2_001.fastq.gz
EGAS00001005448	G-SAM	AAS2	AAS2-1949_NGS19-J310_BHJTTYDSXX_S44_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAS2-1949_NGS19-J310_BHJTTYDSXX_S44_L001_R1_001.fastq.gz	AAS2-1949_NGS19-J310_BHJTTYDSXX_S44_L001_R2_001.fastq.gz
EGAS00001005448	G-SAM	AAT1	AAT1-1939_NGS19-J296_AHKK5WDSXX_S36_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAT1-1939_NGS19-J296_AHKK5WDSXX_S36_L002_R1_001.fastq.gz	AAT1-1939_NGS19-J296_AHKK5WDSXX_S36_L002_R2_001.fastq.gz
EGAS00001005449	G-SAM	AAT1	AAT1-1939_NGS19-J296_BHJTTYDSXX_S30_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAT1-1939_NGS19-J296_BHJTTYDSXX_S30_L001_R1_001.fastq.gz	AAT1-1939_NGS19-J296_BHJTTYDSXX_S30_L001_R2_001.fastq.gz
EGAS00001005449	G-SAM	AAT2	AAT2-1950_NGS19-J333_AHKK5WDSXX_S121_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAT2-1950_NGS19-J333_AHKK5WDSXX_S121_L004_R1_001.fastq.gz	AAT2-1950_NGS19-J333_AHKK5WDSXX_S121_L004_R2_001.fastq.gz
EGAS00001005450	G-SAM	AAU1	AAU1-1945_NGS19-J304_AHKK5WDSXX_S92_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAU1-1945_NGS19-J304_AHKK5WDSXX_S92_L003_R1_001.fastq.gz	AAU1-1945_NGS19-J304_AHKK5WDSXX_S92_L003_R2_001.fastq.gz
EGAS00001005450	G-SAM	AAU1	AAU1-1945_NGS19-J304_BHJTTYDSXX_S38_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAU1-1945_NGS19-J304_BHJTTYDSXX_S38_L001_R1_001.fastq.gz	AAU1-1945_NGS19-J304_BHJTTYDSXX_S38_L001_R2_001.fastq.gz
EGAS00001005451	G-SAM	AAU2	AAU2-1951_NGS19-J599_BHM33WDSXX_S51_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAU2-1951_NGS19-J599_BHM33WDSXX_S51_L003_R1_001.fastq.gz	AAU2-1951_NGS19-J599_BHM33WDSXX_S51_L003_R2_001.fastq.gz
EGAS00001005451	G-SAM	AAV1	AAV1-1946_NGS19-J311_AHKK5WDSXX_S99_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAV1-1946_NGS19-J311_AHKK5WDSXX_S99_L003_R1_001.fastq.gz	AAV1-1946_NGS19-J311_AHKK5WDSXX_S99_L003_R2_001.fastq.gz
EGAS00001005452	G-SAM	AAV1	AAV1-1946_NGS19-J311_BHJTTYDSXX_S45_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAV1-1946_NGS19-J311_BHJTTYDSXX_S45_L001_R1_001.fastq.gz	AAV1-1946_NGS19-J311_BHJTTYDSXX_S45_L001_R2_001.fastq.gz
EGAS00001005452	G-SAM	AAV2	AAV2-1955_NGS19-J450_AHLGTCDSXX_S94_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAV2-1955_NGS19-J450_AHLGTCDSXX_S94_L004_R1_001.fastq.gz	AAV2-1955_NGS19-J450_AHLGTCDSXX_S94_L004_R2_001.fastq.gz
EGAS00001005453	G-SAM	AAW1	AAW1-1953_NGS19-J360_AHKK5WDSXX_S148_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAW1-1953_NGS19-J360_AHKK5WDSXX_S148_L004_R1_001.fastq.gz	AAW1-1953_NGS19-J360_AHKK5WDSXX_S148_L004_R2_001.fastq.gz
EGAS00001005453	G-SAM	AAW2	AAW2-1956_NGS19-J352_AHKK5WDSXX_S140_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAW2-1956_NGS19-J352_AHKK5WDSXX_S140_L004_R1_001.fastq.gz	AAW2-1956_NGS19-J352_AHKK5WDSXX_S140_L004_R2_001.fastq.gz
EGAS00001005454	G-SAM	AAX1	AAX1-1858_NGS19-J299_AHKK5WDSXX_S87_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAX1-1858_NGS19-J299_AHKK5WDSXX_S87_L003_R1_001.fastq.gz	AAX1-1858_NGS19-J299_AHKK5WDSXX_S87_L003_R2_001.fastq.gz
EGAS00001005454	G-SAM	AAX1	AAX1-1858_NGS19-J299_BHJTTYDSXX_S33_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAX1-1858_NGS19-J299_BHJTTYDSXX_S33_L001_R1_001.fastq.gz	AAX1-1858_NGS19-J299_BHJTTYDSXX_S33_L001_R2_001.fastq.gz
EGAS00001005455	G-SAM	AAX2	AAX2-1957_NGS19-J343_AHKK5WDSXX_S131_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAX2-1957_NGS19-J343_AHKK5WDSXX_S131_L004_R1_001.fastq.gz	AAX2-1957_NGS19-J343_AHKK5WDSXX_S131_L004_R2_001.fastq.gz
EGAS00001005455	G-SAM	AAY1	AAY1-2543_NGS19-J390_AHLGTCDSXX_S34_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAY1-2543_NGS19-J390_AHLGTCDSXX_S34_L002_R1_001.fastq.gz	AAY1-2543_NGS19-J390_AHLGTCDSXX_S34_L002_R2_001.fastq.gz
EGAS00001005456	G-SAM	AAY2	AAY2-1959_NGS19-J292_AHKK5WDSXX_S32_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAY2-1959_NGS19-J292_AHKK5WDSXX_S32_L002_R1_001.fastq.gz	AAY2-1959_NGS19-J292_AHKK5WDSXX_S32_L002_R2_001.fastq.gz
EGAS00001005456	G-SAM	AAY2	AAY2-1959_NGS19-J292_BHJTTYDSXX_S26_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAY2-1959_NGS19-J292_BHJTTYDSXX_S26_L001_R1_001.fastq.gz	AAY2-1959_NGS19-J292_BHJTTYDSXX_S26_L001_R2_001.fastq.gz
EGAS00001005457	G-SAM	ABA2	ABA2-1961_NGS19-J428_AHLGTCDSXX_S72_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ABA2-1961_NGS19-J428_AHLGTCDSXX_S72_L004_R1_001.fastq.gz	ABA2-1961_NGS19-J428_AHLGTCDSXX_S72_L004_R2_001.fastq.gz
EGAS00001005457	G-SAM	ACA1	ACA1-1958_NGS19-J519_AHM2NJDSXX_S246_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ACA1-1958_NGS19-J519_AHM2NJDSXX_S246_L003_R1_001.fastq.gz	ACA1-1958_NGS19-J519_AHM2NJDSXX_S246_L003_R2_001.fastq.gz
EGAS00001005458	G-SAM	ACA2	ACA2-1962_NGS19-J353_AHKK5WDSXX_S141_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ACA2-1962_NGS19-J353_AHKK5WDSXX_S141_L004_R1_001.fastq.gz	ACA2-1962_NGS19-J353_AHKK5WDSXX_S141_L004_R2_001.fastq.gz
EGAS00001005458	G-SAM	ADA1	ADA1-1884_NGS19-J436_AHLGTCDSXX_S80_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ADA1-1884_NGS19-J436_AHLGTCDSXX_S80_L004_R1_001.fastq.gz	ADA1-1884_NGS19-J436_AHLGTCDSXX_S80_L004_R2_001.fastq.gz
EGAS00001005459	G-SAM	ADA2	ADA2-1964_NGS19-J345_AHKK5WDSXX_S133_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ADA2-1964_NGS19-J345_AHKK5WDSXX_S133_L004_R1_001.fastq.gz	ADA2-1964_NGS19-J345_AHKK5WDSXX_S133_L004_R2_001.fastq.gz
EGAS00001005459	G-SAM	AFA1	AFA1-2545_NGS19-J355_AHKK5WDSXX_S143_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AFA1-2545_NGS19-J355_AHKK5WDSXX_S143_L004_R1_001.fastq.gz	AFA1-2545_NGS19-J355_AHKK5WDSXX_S143_L004_R2_001.fastq.gz
EGAS00001005460	G-SAM	AFA2	AFA2-1966_NGS19-J506_AHM2NJDSXX_S233_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AFA2-1966_NGS19-J506_AHM2NJDSXX_S233_L003_R1_001.fastq.gz	AFA2-1966_NGS19-J506_AHM2NJDSXX_S233_L003_R2_001.fastq.gz
EGAS00001005460	G-SAM	AHA1	AHA1-1967_NGS19-J598_BHM33WDSXX_S50_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AHA1-1967_NGS19-J598_BHM33WDSXX_S50_L003_R1_001.fastq.gz	AHA1-1967_NGS19-J598_BHM33WDSXX_S50_L003_R2_001.fastq.gz
EGAS00001005461	G-SAM	AHA2	AHA2-2548_NGS19-J383_AHLGTCDSXX_S27_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AHA2-2548_NGS19-J383_AHLGTCDSXX_S27_L002_R1_001.fastq.gz	AHA2-2548_NGS19-J383_AHLGTCDSXX_S27_L002_R2_001.fastq.gz
EGAS00001005461	G-SAM	AIA1	AIA1-1904_NGS19-J332_AHKK5WDSXX_S120_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AIA1-1904_NGS19-J332_AHKK5WDSXX_S120_L004_R1_001.fastq.gz	AIA1-1904_NGS19-J332_AHKK5WDSXX_S120_L004_R2_001.fastq.gz
EGAS00001005462	G-SAM	AIA2	AIA2-1974_NGS19-J270_AHKK5WDSXX_S10_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AIA2-1974_NGS19-J270_AHKK5WDSXX_S10_L002_R1_001.fastq.gz	AIA2-1974_NGS19-J270_AHKK5WDSXX_S10_L002_R2_001.fastq.gz
EGAS00001005462	G-SAM	AIA2	AIA2-1974_NGS19-J270_BHJTTYDSXX_S4_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AIA2-1974_NGS19-J270_BHJTTYDSXX_S4_L001_R1_001.fastq.gz	AIA2-1974_NGS19-J270_BHJTTYDSXX_S4_L001_R2_001.fastq.gz
EGAS00001005463	G-SAM	AKA2	AKA2-1975_NGS19-J367_AHLGTCDSXX_S11_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AKA2-1975_NGS19-J367_AHLGTCDSXX_S11_L002_R1_001.fastq.gz	AKA2-1975_NGS19-J367_AHLGTCDSXX_S11_L002_R2_001.fastq.gz
EGAS00001005463	G-SAM	ALA1	ALA1-1972_NGS19-J485_AHM2NJDSXX_S33_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ALA1-1972_NGS19-J485_AHM2NJDSXX_S33_L002_R1_001.fastq.gz	ALA1-1972_NGS19-J485_AHM2NJDSXX_S33_L002_R2_001.fastq.gz
EGAS00001005464	G-SAM	ALA2	ALA2-1979_NGS19-J306_AHKK5WDSXX_S94_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ALA2-1979_NGS19-J306_AHKK5WDSXX_S94_L003_R1_001.fastq.gz	ALA2-1979_NGS19-J306_AHKK5WDSXX_S94_L003_R2_001.fastq.gz
EGAS00001005464	G-SAM	ALA2	ALA2-1979_NGS19-J306_BHJTTYDSXX_S40_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	ALA2-1979_NGS19-J306_BHJTTYDSXX_S40_L001_R1_001.fastq.gz	ALA2-1979_NGS19-J306_BHJTTYDSXX_S40_L001_R2_001.fastq.gz
